date,Argentina,Bolivia,Chile,Colombia,Costa Rica,Cuba,Ecuador,Germany,Italy,Mexico,Portugal,Spain,United States,Uruguay,Venezuela
2019-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2020-01-28,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0
2020-01-29,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0
2020-01-30,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0
2020-01-31,0,0,0,0,0,0,0,5,3,0,0,0,6,0,0
2020-02-01,0,0,0,0,0,0,0,7,3,0,0,1,7,0,0
2020-02-02,0,0,0,0,0,0,0,8,3,0,0,1,8,0,0
2020-02-03,0,0,0,0,0,0,0,9,3,0,0,1,11,0,0
2020-02-04,0,0,0,0,0,0,0,11,3,0,0,1,11,0,0
2020-02-05,0,0,0,0,0,0,0,11,3,0,0,1,11,0,0
2020-02-06,0,0,0,0,0,0,0,11,3,0,0,1,12,0,0
2020-02-07,0,0,0,0,0,0,0,12,3,0,0,1,12,0,0
2020-02-08,0,0,0,0,0,0,0,13,3,0,0,1,12,0,0
2020-02-09,0,0,0,0,0,0,0,13,3,0,0,1,12,0,0
2020-02-10,0,0,0,0,0,0,0,13,3,0,0,2,12,0,0
2020-02-11,0,0,0,0,0,0,0,13,3,0,0,2,13,0,0
2020-02-12,0,0,0,0,0,0,0,15,3,0,0,2,13,0,0
2020-02-13,0,0,0,0,0,0,0,15,3,0,0,2,14,0,0
2020-02-14,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-15,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-16,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-17,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-18,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-19,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-20,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-21,0,0,0,0,0,0,0,15,3,0,0,2,16,0,0
2020-02-22,0,0,0,0,0,0,0,15,17,0,0,2,35,0,0
2020-02-23,0,0,0,0,0,0,0,15,79,0,0,2,35,0,0
2020-02-24,0,0,0,0,0,0,0,15,132,0,0,2,35,0,0
2020-02-25,0,0,0,0,0,0,0,15,229,0,0,3,53,0,0
2020-02-26,0,0,0,0,0,0,0,17,322,0,0,7,53,0,0
2020-02-27,0,0,0,0,0,0,0,21,400,0,0,12,59,0,0
2020-02-28,0,0,0,0,0,0,0,47,650,0,0,25,60,0,0
2020-02-29,0,0,0,0,0,0,0,57,888,2,0,34,66,0,0
2020-03-01,0,0,0,0,0,0,1,111,1128,4,0,66,69,0,0
2020-03-02,0,0,0,0,0,0,6,129,1689,5,0,83,89,0,0
